,allInPings,assistMePings,assists,baitPings,baronKills,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,firstBloodKill,firstTowerKill,win
0,-1.0,2.0,-9.0,3.0,1.0,1.0,5811.0,1.0,17.0,-1.0,15201.0,72777.0,15201.0,-28229.0,0.0,-7.0,-6.0,2.0,3.0,5.0,-7.0,-24.0,8163.0,7525.0,0.0,4.0,7.0,-20.0,-1.0,3.0,6.0,-265.0,7.0,1.0,92.39999999999998,47348.0,28645.0,-28093.0,0.0,108.0,1.0,-5.0,1.0,1.0,8.0,0.0,109049.0,3038.0,1987.0,1.0,0.0,0.0,-132.59999999999997,63.0,0.0,37.0,168431.0,35511.0,-2126.0,-27932.0,28.0,9660.0,-1391.0,-6.0,485.0,-150.0,0.0,0.0,12035.0,3825.0,-1826.0,8.0,8.0,-50.0,0.0,0.0,-14.0,-10.0,5.0,-6.0,True,False,True
1,-2.0,-14.0,18.0,0.0,2.0,19.0,16340.0,1.4000000000000004,24.0,-6.0,11379.0,66879.0,11379.0,-24580.0,0.0,-7.0,-3.0,0.0,0.0,-23.0,0.0,-9.0,10670.0,3395.0,0.0,2.0,5.0,-10.0,-8.0,-1.0,7.0,-4043.0,11.0,-1.0,-265.79999999999995,115529.0,32502.0,-31126.0,1.0,47.0,1.0,-5.0,4.0,0.0,-13.0,0.0,3422.0,15117.0,-18118.0,3.0,0.0,0.0,-26.19999999999999,90.0,0.0,0.0,108074.0,42358.0,0.0,-43981.0,0.0,-8464.0,-478.0,-27.0,1646.0,-271.0,-3.0,1.0,-10874.0,-5262.0,5263.0,6.0,13.0,-30.0,0.0,0.0,30.0,-6.0,2.0,13.0,False,False,False
2,-4.0,-10.0,-24.0,-4.0,-1.0,3.0,-3240.0,-0.40000000000000213,-34.0,-8.0,13280.0,27087.0,13280.0,-20018.0,0.0,4.0,-4.0,1.0,3.0,-15.0,-7.0,-19.0,-3060.0,-5642.0,2.0,2.0,4.0,-5.0,-32.0,0.0,-4.0,-1174.0,-9.0,0.0,-166.20000000000005,-141360.0,-36492.0,34616.0,0.0,5.0,1.0,-5.0,1.0,0.0,-29.0,0.0,212382.0,51081.0,-52208.0,-3.0,0.0,0.0,-63.0,-237.0,0.0,-20.0,86876.0,12431.0,1378.0,-15624.0,4.0,18329.0,-453.0,4.0,-1352.0,257.0,-2.0,0.0,15854.0,-2161.0,1970.0,3.0,8.0,-25.0,0.0,0.0,-8.0,-6.0,-3.0,5.0,False,True,True
3,-2.0,12.0,-19.0,1.0,-1.0,-7.0,-12664.0,-1.1999999999999993,-34.0,-6.0,-40393.0,-65531.0,-40393.0,7676.0,0.0,10.0,-1.0,-2.0,-1.0,58.0,1.0,1.0,-10724.0,-2630.0,3.0,-3.0,-6.0,15.0,-20.0,0.0,-10.0,-1044.0,-9.0,-3.0,-195.5999999999999,-229488.0,-23482.0,19469.0,0.0,-41.0,-1.0,5.0,-4.0,0.0,27.0,0.0,102122.0,2214.0,-11041.0,2.0,0.0,0.0,-287.2,-13.0,0.0,0.0,-170666.0,-28696.0,2597.0,14285.0,0.0,-18905.0,7698.0,30.0,-1550.0,379.0,1.0,-1.0,-43300.0,-7429.0,5860.0,-8.0,-19.0,40.0,0.0,0.0,-88.0,0.0,-2.0,-40.0,True,False,False
4,2.0,16.0,29.0,-1.0,1.0,8.0,13033.0,1.5999999999999996,9.0,-3.0,17415.0,68097.0,17415.0,-30042.0,0.0,-19.0,0.0,2.0,4.0,-3.0,0.0,-5.0,10506.0,8910.0,0.0,1.0,2.0,-5.0,-12.0,4.0,19.0,-128.0,13.0,1.0,-170.0,130733.0,43282.0,-43136.0,0.0,64.0,1.0,-5.0,1.0,0.0,31.0,0.0,83271.0,8559.0,-4074.0,-1.0,0.0,0.0,-160.00000000000003,40.0,0.0,0.0,230893.0,57176.0,-444.0,-52544.0,0.0,721.0,-353.0,18.0,-1344.0,-658.0,-1.0,1.0,16891.0,5334.0,-5334.0,6.0,13.0,-35.0,0.0,0.0,9.0,0.0,-7.0,13.0,False,True,True
5,0.0,0.0,9.0,0.0,0.0,22.0,13582.0,2.6000000000000014,0.0,6.0,17506.0,19310.0,17506.0,-3572.0,0.0,-21.0,4.0,2.0,2.0,0.0,0.0,0.0,16586.0,7875.0,0.0,1.0,2.0,-5.0,10.0,4.0,21.0,193.0,22.0,2.0,-73.19999999999999,-35554.0,1116.0,-489.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,189733.0,24063.0,-12245.0,0.0,0.0,0.0,29.599999999999994,-4.0,0.0,0.0,150954.0,26705.0,344.0,-14258.0,0.0,-491.0,-41.0,179.0,-207.0,-398.0,1.0,1.0,-3227.0,1525.0,-1524.0,5.0,5.0,-25.0,0.0,0.0,11.0,5.0,0.0,5.0,True,False,False
6,3.0,14.0,-13.0,-2.0,-1.0,0.0,-9749.0,-1.0,8.0,-2.0,-17771.0,-85281.0,-17771.0,-21201.0,0.0,14.0,3.0,-4.0,-4.0,1.0,1.0,16.0,-9323.0,-6010.0,-1.0,-2.0,-2.0,15.0,0.0,-3.0,-14.0,-323.0,-9.0,-3.0,-121.79999999999995,-45413.0,-10641.0,7873.0,0.0,-15.0,-1.0,5.0,-2.0,0.0,14.0,0.0,-46772.0,-12809.0,-1386.0,-3.0,0.0,0.0,-9.800000000000011,-111.0,0.0,0.0,-86272.0,-23499.0,-4084.0,1951.0,0.0,360.0,3246.0,-9.0,-433.0,359.0,2.0,-1.0,5912.0,-48.0,-4538.0,-7.0,-8.0,45.0,0.0,0.0,-41.0,3.0,1.0,-12.0,True,False,False
7,-2.0,-21.0,18.0,0.0,1.0,10.0,15085.0,2.0,-37.0,-24.0,11604.0,-1825.0,11604.0,7453.0,0.0,-22.0,0.0,6.0,2.0,-30.0,-2.0,-18.0,9950.0,3893.0,-2.0,1.0,4.0,-5.0,-14.0,5.0,22.0,-300.0,11.0,7.0,308.99999999999994,83829.0,37277.0,-38770.0,0.0,39.0,0.0,0.0,0.0,0.0,-58.0,0.0,12852.0,-10928.0,9227.0,0.0,1.0,0.0,40.0,-38.0,0.0,0.0,110182.0,22908.0,-3361.0,-26115.0,0.0,1809.0,-754.0,84.0,2.0,-575.0,-3.0,3.0,13501.0,-3440.0,3426.0,3.0,11.0,-20.0,0.0,-2.0,25.0,-27.0,13.0,0.0,False,True,True
8,-2.0,-8.0,4.0,1.0,0.0,7.0,4523.0,0.5999999999999996,0.0,7.0,7306.0,15796.0,7306.0,-10935.0,0.0,-3.0,-3.0,0.0,0.0,-2.0,-2.0,-3.0,6980.0,1775.0,-1.0,0.0,0.0,0.0,-5.0,1.0,4.0,310.0,4.0,1.0,-8.0,85819.0,6708.0,-7629.0,0.0,-11.0,0.0,0.0,0.0,0.0,-16.0,0.0,-9306.0,109.0,2512.0,-5.0,0.0,0.0,87.60000000000002,21.0,0.0,0.0,76663.0,10919.0,-21.0,-9222.0,0.0,1699.0,424.0,106.0,-31.0,-68.0,3.0,0.0,148.0,4104.0,-4104.0,3.0,3.0,-20.0,0.0,0.0,30.0,-5.0,4.0,6.0,False,False,True
9,0.0,31.0,25.0,0.0,0.0,6.0,7444.0,0.7999999999999989,-7.0,-9.0,3593.0,47888.0,3593.0,28674.0,0.0,-1.0,-3.0,1.0,3.0,6.0,-3.0,1.0,428.0,-490.0,3.0,1.0,4.0,-5.0,0.0,2.0,1.0,95.0,-4.0,1.0,-20.799999999999955,-111658.0,-9046.0,9503.0,0.0,16.0,1.0,-5.0,3.0,0.0,-15.0,0.0,219927.0,25945.0,-19227.0,-2.0,0.0,0.0,111.4,40.0,0.0,0.0,88632.0,4726.0,172.0,2449.0,0.0,-14876.0,-18926.0,-23.0,1059.0,-114.0,-2.0,0.0,-19637.0,-12174.0,12174.0,2.0,6.0,-10.0,0.0,0.0,18.0,-4.0,15.0,5.0,True,True,False
