,allInPings,assistMePings,assists,baitPings,baronKills,bountyLevel,champExperience,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodKill,firstTowerKill,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,1.0,12.0,34,5.0,1,2,74452,15.8,53.0,21,21393.0,97599,21393,71312,0.0,33,4,5,3,56.0,1.0,True,False,14.0,63127,59050,1.0,4,7.0,0.0,103,9,39,1389,18,8,639.6,258644,58630,32518,0.0,203,1,0.0,1.0,1,30.0,0,427955,45444,78521,2.0,0,0,210.8,159,1842.0,119.0,751864,111320,0,116459,28.0,31549,719,541,1237,1045,11,0,65261,7241,5415,9,11.0,5.0,0,0.0,110,4,13,54,True
1,2.0,10.0,43,2.0,0,1,68641,14.8,36.0,22,6192.0,24822,6192,99541,0.0,40,10,3,0,51.0,8.0,False,False,38.0,54964,51525,1.0,0,0.0,20.0,104,6,33,1654,11,7,547.2,211296,29985,60611,0.0,95,0,5.0,0.0,0,22.0,0,318906,42406,76534,1.0,0,0,343.4,96,1842.0,82.0,583433,75809,2126,144391,0.0,21889,2110,547,752,1195,11,0,53226,3416,7241,1,3.0,55.0,0,0.0,124,14,8,60,False
2,1.0,1.0,50,1.0,2,19,78068,15.6,29.0,12,22352.0,98633,22352,81547,0.0,38,4,5,2,3.0,1.0,False,True,3.0,64374,54300,0.0,2,5.0,0.0,92,8,45,500,22,8,383.6,275598,74237,45015,1.0,167,1,0.0,4.0,0,15.0,0,310281,48430,56120,4.0,0,0,81.4,192,1903.0,0.0,646965,126266,0,109998,0.0,24772,48,469,2123,1117,6,2,61083,3595,8856,8,16.0,15.0,0,0.0,130,4,10,56,True
3,3.0,15.0,32,1.0,0,0,61728,14.2,5.0,18,10973.0,31754,10973,106127,0.0,45,7,5,2,26.0,1.0,True,False,12.0,53704,50905,0.0,0,0.0,10.0,100,9,38,4543,11,9,649.4,160069,41735,76141,0.0,120,0,5.0,0.0,0,28.0,0,306859,33313,74238,1.0,0,0,107.6,102,1903.0,0.0,538891,83908,0,153979,0.0,33236,526,496,477,1388,9,1,71957,8857,3593,2,3.0,45.0,0,0.0,100,10,8,43,False
4,3.0,25.0,38,0.0,0,5,80499,16.2,58.0,11,23960.0,81476,23960,224480,0.0,38,1,3,4,75.0,1.0,False,True,22.0,66578,60583,3.0,2,4.0,5.0,100,9,34,56,10,7,711.4,105020,25779,64426,0.0,147,1,0.0,1.0,0,57.0,0,691874,123131,111180,4.0,0,0,176.6,146,2327.0,85.0,885191,155070,1378,183916,16.0,68949,0,660,1083,1357,5,0,88292,6154,8307,8,14.0,25.0,0,0.0,143,1,5,74,True
5,7.0,35.0,62,4.0,1,2,83739,16.6,92.0,19,10680.0,54389,10680,244498,0.0,34,5,2,1,90.0,8.0,True,False,41.0,69638,66225,1.0,0,0.0,10.0,132,9,38,1230,19,7,877.6,246380,62271,29810,0.0,142,0,5.0,0.0,0,86.0,0,479492,72050,163388,7.0,0,0,239.6,383,2327.0,105.0,798315,142639,0,199540,12.0,50620,453,656,2435,1100,7,0,72438,8315,6337,5,6.0,50.0,0,0.0,151,7,8,69,False
6,3.0,29.0,48,1.0,0,1,78036,16.0,33.0,10,9766.0,55568,9766,143090,0.0,45,1,3,2,70.0,3.0,True,False,5.0,63950,66510,4.0,0,0.0,15.0,100,7,35,0,13,6,538.2,279574,61586,85378,0.0,147,0,5.0,0.0,0,40.0,0,418791,46981,71101,3.0,0,0,129.2,190,2263.0,0.0,785923,117244,2597,172585,0.0,20958,8495,647,1303,1615,8,0,87554,8673,16102,3,5.0,55.0,0,0.0,66,2,1,37,False
7,5.0,17.0,67,0.0,1,8,90700,17.2,67.0,16,50159.0,121099,50159,135414,0.0,35,2,5,3,12.0,2.0,False,True,4.0,74674,69140,1.0,3,6.0,0.0,120,7,45,1044,22,9,733.8,509062,85068,65909,0.0,188,1,0.0,4.0,0,13.0,0,316669,44767,82142,1.0,0,0,416.4,203,2263.0,0.0,956589,145940,0,158300,0.0,39863,797,617,2853,1236,7,1,130854,16102,10242,11,24.0,15.0,0,0.0,154,2,3,77,True
8,2.0,26.0,53,1.0,1,8,66622,14.6,42.0,14,22868.0,99135,22868,81352,0.0,19,4,5,4,21.0,2.0,False,False,5.0,57337,53310,0.0,1,2.0,0.0,92,10,38,398,23,8,523.6,276992,74790,33770,0.0,172,1,0.0,1.0,0,73.0,0,334517,40196,56843,2.0,0,0,156.6,149,1865.0,0.0,689694,121832,2455,92124,0.0,15572,736,469,874,529,7,1,78183,6842,1508,7,15.0,5.0,0,0.0,118,4,5,57,True
9,0.0,10.0,24,2.0,0,0,53589,13.0,33.0,17,5453.0,31038,5453,111394,0.0,38,4,3,0,24.0,2.0,True,True,10.0,46831,44400,0.0,0,0.0,5.0,104,6,19,526,10,7,693.6,146259,31508,76906,0.0,108,0,5.0,0.0,0,42.0,0,251246,31637,60917,3.0,0,0,316.6,109,1865.0,0.0,458801,64656,2899,144668,0.0,14851,1089,451,2218,1187,8,0,61292,1508,6842,1,2.0,40.0,0,0.0,109,4,12,44,False
